480756, 481597
651722, 651734
512062, 512064
211730, 211729
142053, 159648
62815, 92046
665369, 665506
716668, 716670
512641, 512640
755695, 755752
685270, 878016
346378, 350154
630372, 630372
359644, 359646
813466, 813458
21564, 565506
862476, 17780
219843, 219840
226975, 226977
845074, 845069
60770, 60769
572930, 572932
816445, 816465
165965, 165964
625597, 625559
250145, 250144
681623, 681630
718163, 718173
650401, 650411
647176, 647174
642430, 642333
832190, 832199
721268, 721296
266497, 266510
644292, 576777
401944, 401945
439654, 431421
3787, 3786
4906, 4384
634423, 634424
367841, 374653
805394, 804794
135872, 135878
589054, 589058
685017, 575612
515190, 640120
446766, 446766
378156, 368500
558438, 558434
277104, 212117
714951, 629950
494313, 496652
550534, 699610
927953, 927952
644004, 642756
225204, 224875
9108, 9108
207238, 207238
324090, 324092
148119, 151775
808442, 808441
616770, 616877
894822, 894815
915082, 915069
115417, 115420
151787, 137143
218839, 218832
232721, 271781
424297, 424292
106150, 112143
859968, 860138
17143, 643043
554936, 930501
121294, 121297
395975, 395975
789097, 789098
417355, 417356
200822, 200825
874091, 874132
724675, 724669
873173, 873179
716556, 716562
296471, 296475
854202, 554812
248117, 248115
422112, 422115
174481, 174491
922201, 922225
33506, 33507
323671, 323671
295077, 295082
151137, 151139
62369, 62234
302681, 302687
415351, 414859
547269, 547262
635140, 635218
921924, 921921
136795, 136793
683594, 683593
