890550,890571
58426,58427
681024,55324
328170,328171
483820,482958
299187,299188
322995,322989
171945,171943
451289,451286
145730,121985
439987,439986
623304,623308
108836,108837
655677,655665
443902,443898
339589,196839
600910,600903
305922,305922
304533,258656
686163,686177
213860,213864
174454,174454
249187,249188
589052,589018
746956,746911
826236,826235
315744,315748
355049,355048
500525,501281
301080,281414
236415,236410
639105,78187
782594,782593
890316,890240
410373,878182
106034,106035
213984,213986
17869,17867
148390,148389
172887,172884
642393,642398
773950,773952
617081,617080
580021,580019
261556,261554
876957,876955
624258,624257
139925,139925
322023,286693
715175,715179
