104426, 104426
230167, 230165
899915, 899931
932607, 932605
627973, 627976
499186, 498457
932504, 932509
25124, 931340
654107, 863644
454414, 454413
93342, 93366
490628, 489650
891462, 891465
927095, 925474
714951, 629950
600014, 599891
437167, 437165
589691, 589691
252155, 252156
329799, 207609
76580, 623267
656936, 656942
735261, 735262
720219, 720219
38600, 936868
357991, 357990
503705, 497991
912681, 912686
784024, 784024
907542, 907539
90207, 90198
492252, 496570
647864, 647865
165936, 131235
714318, 904765
80040, 79859
531275, 931553
528406, 55287
424669, 424669
203506, 203508
775683, 775684
396108, 396105
523572, 523567
178957, 352383
116668, 116671
580916, 857526
129453, 129452
343125, 343126
128295, 128296
130554, 125762
223487, 223487
224813, 224812
65693, 530549
93428, 21439
11215, 11332
374760, 374760
525789, 525789
751408, 751407
654414, 654414
583601, 583619
528818, 528815
171129, 171131
167679, 167681
656370, 656382
326110, 356523
94392, 866207
110759, 110751
133855, 133854
599421, 599445
530918, 530568
183744, 183741
800145, 800147
683390, 683388
791388, 791390
438297, 438291
108836,	108837
655677,	655665
443902,	443898
339589,	196839
600910,	600903
305922,	305922
304533,	258656
686163,	686177
213860,	213864
174454,	174454
249187,	249188
589052,	589018
746956,	746911
826236,	826235
315744,	315748
355049,	355048
500525,	501281
301080,	281414
236415,	236410
639105,	78187
782594,	782593
890316,	890240
410373,	878182
106034,	106035
213984,	213986


