104426; 104426; [104426]; 0.0
230167; 230165; [230167, 230166, 230165]; 0.0004
899915; 899931; [899915, 899916, 899931]; 0.003966666666666667
932607; 932605; [932607, 932453, 932605]; 0.0006111111111111111
627973; 627976; [627973, 627974, 627975, 627976]; 0.0017000000000000001
499186; 498457; [499186, 499185, 499184, 499183, 499182, 499181, 498457]; 0.0061
932504; 932509; [932504, 932505, 932506, 890357, 890358, 890359, 890360, 890361, 890362, 890363, 932489, 932490, 932491, 932492, 932493, 932494, 932495, 932496, 932508, 932509]; 0.007411111111111111
25124; 931340; [25124, 25125, 25126, 25127, 25128, 25129, 25130, 25131, 25132, 931330, 931331, 931332, 931333, 931334, 931335, 931336, 931337, 931338, 931339, 931340]; 0.0324
654107; 863644; [654107, 654108, 654109, 654110, 654111, 654112, 654113, 654114, 863645, 863644]; 0.0023375000000000006
454414; 454413; [454414, 454413]; 0.00013333333333333334
93342; 93366; [93342, 76489, 93343, 93344, 93366]; 0.007295833333333333
490628; 489650; [490628, 486138, 489651, 489650]; 0.0024
891462; 891465; [891462, 891463, 891464, 891465]; 0.00043333333333333337
927095; 925474; [927095, 927096, 927097, 913390, 913391, 913392, 913393, 913394, 913395, 913396, 913397, 925473, 925474]; 0.0023222222222222216
714951; 629950; [714951, 714952, 714953, 714954, 714955, 714956, 714957, 714958, 714959, 714960, 714961, 714962, 714963, 883331, 714968, 883332, 883333, 883334, 883335, 629950]; 0.0062875000000000006
600014; 599891; [600014, 600080, 600013, 599895, 599894, 599893, 599892, 599891]; 0.007641666666666666
437167; 437165; [437167, 437166, 437165]; 7.500000000000001e-05
589691; 589691; [589691]; 0.0
252155; 252156; [252155, 252156]; 6.666666666666667e-05
329799; 207609; [329799, 207607, 207608, 207609]; 0.0010666666666666667
76580; 623267; [76580, 76581, 76582, 76583, 76584, 623272, 623271, 623270, 623269, 623268, 623267]; 0.002575
656936; 656942; [656936, 656937, 656938, 656939, 656940, 656941, 656942]; 0.0014749999999999997
735261; 735262; [735261, 735262]; 0.00039999999999999996
720219; 720219; [720219]; 0.0
38600; 936868; [38600, 38599, 38598, 38597, 936868]; 0.006633333333333333
